date,year,month,day,hour,camera_id,Gender,Input,Output,Age00,Age10,Age20,Age30,Age40,Age50,Age60,Age70,NaN
2022-04-04 19:00:00,2022,4,4,19,1,0,58,1,2,4,13,17,9,9,5,0,0
2022-04-04 19:00:00,2022,4,4,19,1,1,47,4,0,4,25,16,6,0,0,0,0
2022-04-04 19:00:00,2022,4,4,19,1,2,49,100,0,0,0,0,0,0,0,0,0
2022-04-04 20:00:00,2022,4,4,20,1,0,67,2,0,4,28,12,15,8,2,0,0
2022-04-04 20:00:00,2022,4,4,20,1,1,44,3,0,7,19,13,6,1,1,0,0
2022-04-04 20:00:00,2022,4,4,20,1,2,54,116,0,0,0,0,0,0,0,0,0
2022-04-04 21:00:00,2022,4,4,21,1,0,69,2,0,9,17,23,16,6,0,0,0
2022-04-04 21:00:00,2022,4,4,21,1,1,47,0,0,6,22,17,1,1,0,0,0
2022-04-04 21:00:00,2022,4,4,21,1,2,48,79,0,0,0,0,0,0,0,0,0
2022-04-04 22:00:00,2022,4,4,22,1,0,36,3,0,4,14,13,5,3,0,0,0
2022-04-04 22:00:00,2022,4,4,22,1,1,27,1,0,1,14,12,1,0,0,0,0
2022-04-04 22:00:00,2022,4,4,22,1,2,34,75,0,0,0,0,0,0,0,0,0
